material_entity_id	material_entity_type	material_entity_type_iri	material_entity_type_vocabulary	institution_code	institution_id	owner_institution_code	owner_institution_id	collection_code	collection_id	catalog_number	other_catalog_numbers	record_number	preparations	disposition	verbatim_label	associated_sequences	material_citation	material_entity_remarks	material_gathering_id	evidence_for_occurrence_id	derived_from_material_entity_id	derivation_type	derivation_type_iri	derivation_type_vocabulary	part_of_material_entity_id
ECOSUR-SC:ECOAB:120030	Organism			ECOSUR-SC				ECOAB		120030	ECOSUR-SC:ECOAB:120030								fa08ba5c-6802-40a5-9642-1726cd501908	59e6062c-c7ca-4fcc-85ac-f8a03115e735					
ECOSUR-SC:ECOAB:120031	Organism			ECOSUR-SC				ECOAB		120031	ECOSUR-SC:ECOAB:120031								6f95fb4d-df94-4b1a-8b94-ab548e94521c	b26b49ed-ba94-43a1-9134-d10c5af65d84					
ECOSUR-SC:ECOAB:120032	Organism			ECOSUR-SC				ECOAB		120032	ECOSUR-SC:ECOAB:120032								5da627bf-9276-499e-a34f-9c076cb4bb21	e5fd8874-375d-4dc9-a617-7ccc98c454b3					
ECOSUR-SC:ECOAB:120033	Organism			ECOSUR-SC				ECOAB		120033	ECOSUR-SC:ECOAB:120033								b2fe49d8-8f59-4017-81e3-521b239c5d76	4b06cdde-61c2-4c6d-8bf2-e252e113360b					
ECOSUR-SC:ECOAB:120035	Organism			ECOSUR-SC				ECOAB		120035	ECOSUR-SC:ECOAB:120035								5b81e62b-d240-4d12-b417-9aadcd1f44a8	db11fc01-5484-4b78-b7ea-c6ce7ea14c53					
ECOSUR-SC:ECOAB:120036	Organism			ECOSUR-SC				ECOAB		120036	ECOSUR-SC:ECOAB:120036								19b1721d-eab0-4f48-ad91-292396126dd2	482b4c0e-114b-4472-8b0e-759fadd8f660					
ECOSUR-SC:ECOAB:120037	Organism			ECOSUR-SC				ECOAB		120037	ECOSUR-SC:ECOAB:120037								fea49152-2a65-43d2-8c5d-766ccb1a2e49	fcab7e32-d1a6-462c-a103-eb881e58efa6					
ECOSUR-SC:ECOAB:120038	Organism			ECOSUR-SC				ECOAB		120038	ECOSUR-SC:ECOAB:120038								fb4ad5d6-3d72-487b-9eb5-a146b8db4834	8daf0cd9-0e9b-4df1-b06c-1a699c5b0213					
ECOSUR-SC:ECOAB:120039	Organism			ECOSUR-SC				ECOAB		120039	ECOSUR-SC:ECOAB:120039								90e73c38-c75d-4bba-a39c-45e948bedf79	3064e0cd-f4dd-4ced-a294-eead28050338					
ECOSUR-SC:ECOAB:120040	Organism			ECOSUR-SC				ECOAB		120040	ECOSUR-SC:ECOAB:120040								c745e1a7-8e6e-470d-ab38-e3857183988a	0605af04-f98d-43d3-91ca-f8ec180dd214					
ECOSUR-SC:ECOAB:120041	Organism			ECOSUR-SC				ECOAB		120041	ECOSUR-SC:ECOAB:120041								067cd6d2-5dfa-4306-8975-404dd75e844d	4e4ad911-a302-4e1d-b74a-7b429ab33b2f					
